director_name,duration,actor_1_name,actor_2_name,actor_3_name,budget,imdb_score,movie_title,genres,gross
Guillermo del Toro,131,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,190000000,7,Pacific Rim,Action|Adventure|Sci-Fi,101785482
Michael Bay,154,Glenn Morshower,Lester Speight,Kevin Dunn,195000000,6.3,Transformers: Dark of the Moon,Action|Adventure|Sci-Fi,352358779
Steven Spielberg,122,Harrison Ford,Ray Winstone,Jim Broadbent,185000000,6.2,Indiana Jones and the Kingdom of the Crystal Skull,Action|Adventure|Fantasy,317011114
Zack Snyder,215,Matt Frewer,Billy Crudup,Stephen McHattie,130000000,7.7,Watchmen,Action|Drama|Mystery|Sci-Fi,107503316
Mark Andrews,93,Kelly Macdonald,John Ratzenberger,Julie Walters,185000000,7.2,Brave,Adventure|Animation|Comedy|Family|Fantasy,237282182
Justin Lin,122,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,185000000,7.5,Star Trek Beyond,Action|Adventure|Sci-Fi|Thriller,130468626
Andrew Stanton,98,John Ratzenberger,Fred Willard,Jeff Garlin,180000000,8.4,WALL·E,Adventure|Animation|Family|Sci-Fi,223806889
Brett Ratner,91,Tzi Ma,Dana Ivey,Noémie Lenoir,140000000,6.2,Rush Hour 3,Action|Comedy|Crime|Thriller,140080850
Roland Emmerich,158,Oliver Platt,Liam James,Tom McCarthy,200000000,5.8,2012,Action|Adventure|Sci-Fi,166112167
Robert Zemeckis,96,Robin Wright,Colin Firth,Gary Oldman,200000000,6.8,A Christmas Carol,Animation|Drama|Family|Fantasy,137850096
Lana Wachowski,127,Channing Tatum,Mila Kunis,Eddie Redmayne,176000000,5.4,Jupiter Ascending,Action|Adventure|Sci-Fi,47375327
David Yates,110,Christoph Waltz,Alexander Skarsgård,Casper Crump,180000000,6.6,The Legend of Tarzan,Action|Adventure|Drama|Romance,124051759
Andrew Adamson,150,Jim Broadbent,Kiran Shah,Shane Rangi,180000000,6.9,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure|Family|Fantasy,291709845
Bryan Singer,144,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,178000000,7.3,X-Men: Apocalypse,Action|Adventure|Sci-Fi,154985087
Christopher Nolan,152,Christian Bale,Heath Ledger,Morgan Freeman,185000000,9,The Dark Knight,Action|Crime|Drama|Thriller,533316061
Pete Docter,96,John Ratzenberger,Delroy Lindo,Jess Harnell,175000000,8.3,Up,Adventure|Animation|Comedy|Family,292979556
Rob Letterman,94,Amy Poehler,Rainn Wilson,Stephen Colbert,175000000,6.5,Monsters vs. Aliens,Action|Adventure|Animation|Comedy|Family|Sci-Fi,198332128
Jon Favreau,126,Robert Downey Jr.,Jeff Bridges,Jon Favreau,140000000,7.9,Iron Man,Action|Adventure|Sci-Fi,318298180
Martin Scorsese,126,Chloë Grace Moretz,Christopher Lee,Ray Winstone,170000000,7.5,Hugo,Adventure|Drama|Family|Mystery,73820094
Barry Sonnenfeld,106,Will Smith,Salma Hayek,Bai Ling,170000000,4.8,Wild Wild West,Action|Comedy|Sci-Fi|Western,113745408
Rob Cohen,112,Jet Li,Brendan Fraser,Russell Wong,145000000,5.2,The Mummy: Tomb of the Dragon Emperor,Action|Adventure|Fantasy|Horror|Thriller,102176165
David Ayer,123,Will Smith,Robin Atkin Downes,Ike Barinholtz,175000000,6.9,Suicide Squad,Action|Adventure|Comedy|Sci-Fi,161087183
Tom Shadyac,96,Jimmy Bennett,Morgan Freeman,Steve Carell,175000000,5.4,Evan Almighty,Comedy|Family|Fantasy,100289690
Doug Liman,113,Tom Cruise,Lara Pulver,Noah Taylor,178000000,7.9,Edge of Tomorrow,Action|Adventure|Sci-Fi,100189501
Kevin Reynolds,176,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,175000000,6.1,Waterworld,Action|Adventure|Sci-Fi|Thriller,88246220
Stephen Sommers,118,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,175000000,5.8,G.I. Joe: The Rise of Cobra,Action|Adventure|Sci-Fi|Thriller,150167630
Pete Docter,95,Amy Poehler,Mindy Kaling,Phyllis Smith,175000000,8.3,Inside Out,Adventure|Animation|Comedy|Drama|Family|Fantasy,356454367
Jon Favreau,106,Scarlett Johansson,Bill Murray,Garry Shandling,175000000,7.8,The Jungle Book,Adventure|Drama|Family|Fantasy,362645141
Jon Favreau,124,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,200000000,7,Iron Man 2,Action|Adventure|Sci-Fi,312057433
Rupert Sanders,132,Chris Hemsworth,Kristen Stewart,Sam Claflin,170000000,6.1,Snow White and the Huntsman,Action|Adventure|Drama|Fantasy,155111815
Robert Stromberg,97,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,180000000,7,Maleficent,Action|Adventure|Family|Fantasy|Romance,241407328
Matt Reeves,130,Gary Oldman,Judy Greer,Kodi Smit-McPhee,170000000,7.6,Dawn of the Planet of the Apes,Action|Adventure|Drama|Sci-Fi,208543795
Francis Lawrence,137,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,160000000,6.6,The Hunger Games: Mockingjay - Part 2,Adventure|Sci-Fi,281666058
Carl Rinsch,128,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,175000000,6.3,47 Ronin,Action|Adventure|Drama|Fantasy,38297305
Anthony Russo,136,Scarlett Johansson,Chris Evans,Hayley Atwell,170000000,7.8,Captain America: The Winter Soldier,Action|Adventure|Sci-Fi,259746958
Mike Mitchell,93,Jon Hamm,Kathy Griffin,Mary Kay Place,165000000,6.4,Shrek Forever After,Adventure|Animation|Comedy|Family|Fantasy,238371987
Brad Bird,130,Judy Greer,Chris Bauer,Thomas Robinson,190000000,6.5,Tomorrowland,Action|Adventure|Family|Mystery|Sci-Fi,93417865
Don Hall,102,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,165000000,7.9,Big Hero 6,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,222487711
Rich Moore,101,Jack McBrayer,Sarah Silverman,Joe Lo Truglio,165000000,7.8,Wreck-It Ralph,Adventure|Animation|Comedy|Family|Sci-Fi,189412677
Robert Zemeckis,100,Tom Hanks,Eddie Deezen,Peter Scolari,165000000,6.6,The Polar Express,Adventure|Animation|Family|Fantasy,665426
Roland Emmerich,120,Vivica A. Fox,Sela Ward,Judd Hirsch,165000000,5.5,Independence Day: Resurgence,Action|Adventure|Sci-Fi,102315545
Dean DeBlois,98,Gerard Butler,America Ferrera,Craig Ferguson,165000000,8.2,How to Train Your Dragon,Adventure|Animation|Family|Fantasy,217387997
Jonathan Mostow,109,Nick Stahl,M.C. Gainey,Carolyn Hennesy,200000000,6.4,Terminator 3: Rise of the Machines,Action|Sci-Fi,150350192
James Gunn,121,Bradley Cooper,Vin Diesel,Djimon Hounsou,170000000,8.1,Guardians of the Galaxy,Action|Adventure|Sci-Fi,333130696
Christopher Nolan,169,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,165000000,8.6,Interstellar,Adventure|Drama|Sci-Fi,187991439
Christopher Nolan,148,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,160000000,8.8,Inception,Action|Adventure|Sci-Fi|Thriller,292568851
Peter Berg,102,Will Smith,Charlize Theron,Eddie Marsan,150000000,6.4,Hancock,Action|Drama,227946274
