director_name,duration,actor_1_name,actor_2_name,actor_3_name,budget,imdb_score,movie_title,genres,gross
Guillermo del Toro,131,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,190000000,7,Pacific Rim,Action|Adventure|Sci-Fi,101785482
Michael Bay,154,Glenn Morshower,Lester Speight,Kevin Dunn,195000000,6.3,Transformers: Dark of the Moon,Action|Adventure|Sci-Fi,352358779
Steven Spielberg,122,Harrison Ford,Ray Winstone,Jim Broadbent,185000000,6.2,Indiana Jones and the Kingdom of the Crystal Skull,Action|Adventure|Fantasy,317011114
Peter Sohn,93,A.J. Buckley,Jack McGraw,Peter Sohn,,6.8,The Good Dinosaur,Adventure|Animation|Comedy|Family|Fantasy,123070338
Mark Andrews,93,Kelly Macdonald,John Ratzenberger,Julie Walters,185000000,7.2,Brave,Adventure|Animation|Comedy|Family|Fantasy,237282182
Justin Lin,122,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,185000000,7.5,Star Trek Beyond,Action|Adventure|Sci-Fi|Thriller,130468626
Andrew Stanton,98,John Ratzenberger,Fred Willard,Jeff Garlin,180000000,8.4,WALL·E,Adventure|Animation|Family|Sci-Fi,223806889
Brett Ratner,91,Tzi Ma,Dana Ivey,Noémie Lenoir,140000000,6.2,Rush Hour 3,Action|Comedy|Crime|Thriller,140080850
Roland Emmerich,158,Oliver Platt,Liam James,Tom McCarthy,200000000,5.8,2012,Action|Adventure|Sci-Fi,166112167
Robert Zemeckis,96,Robin Wright,Colin Firth,Gary Oldman,200000000,6.8,A Christmas Carol,Animation|Drama|Family|Fantasy,137850096
Lana Wachowski,127,Channing Tatum,Mila Kunis,Eddie Redmayne,176000000,5.4,Jupiter Ascending,Action|Adventure|Sci-Fi,47375327
David Yates,110,Christoph Waltz,Alexander Skarsgård,Casper Crump,180000000,6.6,The Legend of Tarzan,Action|Adventure|Drama|Romance,124051759
Andrew Adamson,150,Jim Broadbent,Kiran Shah,Shane Rangi,180000000,6.9,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure|Family|Fantasy,291709845
Bryan Singer,144,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,178000000,7.3,X-Men: Apocalypse,Action|Adventure|Sci-Fi,154985087
Christopher Nolan,152,Christian Bale,Heath Ledger,Morgan Freeman,185000000,9,The Dark Knight,Action|Crime|Drama|Thriller,533316061
Pete Docter,96,John Ratzenberger,Delroy Lindo,Jess Harnell,175000000,8.3,Up,Adventure|Animation|Comedy|Family,292979556
Rob Letterman,94,Amy Poehler,Rainn Wilson,Stephen Colbert,175000000,6.5,Monsters vs. Aliens,Action|Adventure|Animation|Comedy|Family|Sci-Fi,198332128
Jon Favreau,126,Robert Downey Jr.,Jeff Bridges,Jon Favreau,140000000,7.9,Iron Man,Action|Adventure|Sci-Fi,318298180
Martin Scorsese,126,Chloë Grace Moretz,Christopher Lee,Ray Winstone,170000000,7.5,Hugo,Adventure|Drama|Family|Mystery,73820094
Barry Sonnenfeld,106,Will Smith,Salma Hayek,Bai Ling,170000000,4.8,Wild Wild West,Action|Comedy|Sci-Fi|Western,113745408
Rob Cohen,112,Jet Li,Brendan Fraser,Russell Wong,145000000,5.2,The Mummy: Tomb of the Dragon Emperor,Action|Adventure|Fantasy|Horror|Thriller,102176165
David Ayer,123,Will Smith,Robin Atkin Downes,Ike Barinholtz,175000000,6.9,Suicide Squad,Action|Adventure|Comedy|Sci-Fi,161087183
Tom Shadyac,96,Jimmy Bennett,Morgan Freeman,Steve Carell,175000000,5.4,Evan Almighty,Comedy|Family|Fantasy,100289690
Doug Liman,113,Tom Cruise,Lara Pulver,Noah Taylor,178000000,7.9,Edge of Tomorrow,Action|Adventure|Sci-Fi,100189501
Kevin Reynolds,176,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,175000000,6.1,Waterworld,Action|Adventure|Sci-Fi|Thriller,88246220
Stephen Sommers,118,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,175000000,5.8,G.I. Joe: The Rise of Cobra,Action|Adventure|Sci-Fi|Thriller,150167630
Pete Docter,95,Amy Poehler,Mindy Kaling,Phyllis Smith,175000000,8.3,Inside Out,Adventure|Animation|Comedy|Drama|Family|Fantasy,356454367
Jon Favreau,106,Scarlett Johansson,Bill Murray,Garry Shandling,175000000,7.8,The Jungle Book,Adventure|Drama|Family|Fantasy,362645141
Jon Favreau,124,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,200000000,7,Iron Man 2,Action|Adventure|Sci-Fi,312057433
Rupert Sanders,132,Chris Hemsworth,Kristen Stewart,Sam Claflin,170000000,6.1,Snow White and the Huntsman,Action|Adventure|Drama|Fantasy,155111815
Robert Stromberg,97,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,180000000,7,Maleficent,Action|Adventure|Family|Fantasy|Romance,241407328
Matt Reeves,130,Gary Oldman,Judy Greer,Kodi Smit-McPhee,170000000,7.6,Dawn of the Planet of the Apes,Action|Adventure|Drama|Sci-Fi,208543795
Roland Joffé,109,Tamsin Egerton,Alice Englert,Bipasha Basu,,4.5,The Lovers,Action|Adventure|Romance|Sci-Fi,
Carl Rinsch,128,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,175000000,6.3,47 Ronin,Action|Adventure|Drama|Fantasy,38297305
Anthony Russo,136,Scarlett Johansson,Chris Evans,Hayley Atwell,170000000,7.8,Captain America: The Winter Soldier,Action|Adventure|Sci-Fi,259746958
Mike Mitchell,93,Jon Hamm,Kathy Griffin,Mary Kay Place,165000000,6.4,Shrek Forever After,Adventure|Animation|Comedy|Family|Fantasy,238371987
Brad Bird,130,Judy Greer,Chris Bauer,Thomas Robinson,190000000,6.5,Tomorrowland,Action|Adventure|Family|Mystery|Sci-Fi,93417865
Don Hall,102,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,165000000,7.9,Big Hero 6,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,222487711
Rich Moore,101,Jack McBrayer,Sarah Silverman,Joe Lo Truglio,165000000,7.8,Wreck-It Ralph,Adventure|Animation|Comedy|Family|Sci-Fi,189412677
Robert Zemeckis,100,Tom Hanks,Eddie Deezen,Peter Scolari,165000000,6.6,The Polar Express,Adventure|Animation|Family|Fantasy,665426
Roland Emmerich,120,Vivica A. Fox,Sela Ward,Judd Hirsch,165000000,5.5,Independence Day: Resurgence,Action|Adventure|Sci-Fi,102315545
Dean DeBlois,98,Gerard Butler,America Ferrera,Craig Ferguson,165000000,8.2,How to Train Your Dragon,Adventure|Animation|Family|Fantasy,217387997
Jonathan Mostow,109,Nick Stahl,M.C. Gainey,Carolyn Hennesy,200000000,6.4,Terminator 3: Rise of the Machines,Action|Sci-Fi,150350192
James Gunn,121,Bradley Cooper,Vin Diesel,Djimon Hounsou,170000000,8.1,Guardians of the Galaxy,Action|Adventure|Sci-Fi,333130696
Christopher Nolan,169,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,165000000,8.6,Interstellar,Adventure|Drama|Sci-Fi,187991439
Christopher Nolan,148,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,160000000,8.8,Inception,Action|Adventure|Sci-Fi|Thriller,292568851
Hideaki Anno,120,Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda,,8.2,Godzilla Resurgence,Action|Adventure|Drama|Horror|Sci-Fi,
Peter Jackson,182,Aidan Turner,Adam Brown,James Nesbitt,180000000,7.9,The Hobbit: An Unexpected Journey,Adventure|Fantasy,303001229
Rob Cohen,106,Paul Walker,Vin Diesel,Jordana Brewster,38000000,6.7,The Fast and the Furious,Action|Crime|Thriller,144512310
David Fincher,166,Brad Pitt,Jason Flemyng,Julia Ormond,150000000,7.8,The Curious Case of Benjamin Button,Drama|Fantasy|Romance,127490802
Matthew Vaughn,132,Jennifer Lawrence,Michael Fassbender,Oliver Platt,160000000,7.8,X-Men: First Class,Action|Adventure|Sci-Fi,146405371
Francis Lawrence,137,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,160000000,6.6,The Hunger Games: Mockingjay - Part 2,Adventure|Sci-Fi,281666058
Jon Turteltaub,109,Nicolas Cage,Omar Benson Miller,Robert Capron,150000000,6.1,The Sorcerer's Apprentice,Action|Adventure|Family|Fantasy,63143812
Wolfgang Petersen,98,Jimmy Bennett,Mike Vogel,Andre Braugher,160000000,5.6,Poseidon,Action|Adventure|Drama|Thriller,60655503
James Bobin,113,Johnny Depp,Alan Rickman,Anne Hathaway,170000000,6.4,Alice Through the Looking Glass,Adventure|Family|Fantasy,76846624
Chris Miller,93,Justin Timberlake,Eric Idle,Rupert Everett,160000000,6.1,Shrek the Third,Adventure|Animation|Comedy|Family|Fantasy,320706665
Duncan Jones,123,Dominic Cooper,Callum Rennie,Ruth Negga,160000000,7.3,Warcraft,Action|Adventure|Fantasy,46978995
Alan Taylor,126,J.K. Simmons,Emilia Clarke,Matt Smith,155000000,6.6,Terminator Genisys,Action|Adventure|Sci-Fi,89732035
Michael Apted,113,Bruce Spence,Shane Rangi,Laura Brent,155000000,6.3,The Chronicles of Narnia: The Voyage of the Dawn Treader,Adventure|Family|Fantasy,104383624
Michael Bay,184,Jennifer Garner,Jaime King,Mako,140000000,6.1,Pearl Harbor,Action|Drama|History|Romance|War,198539855
Michael Bay,144,Zack Ward,Michael O'Neill,Kevin Dunn,150000000,7.1,Transformers,Action|Adventure|Sci-Fi,318759914
Oliver Stone,206,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,155000000,5.5,Alexander,Action|Adventure|Biography|Drama|History|Romance|War,34293771
David Yates,138,Robert Pattinson,Daniel Radcliffe,Fiona Shaw,150000000,7.5,Harry Potter and the Order of the Phoenix,Adventure|Family|Fantasy|Mystery,292000866
Mike Newell,157,Robert Pattinson,Daniel Radcliffe,Rupert Grint,150000000,7.6,Harry Potter and the Goblet of Fire,Adventure|Family|Fantasy|Mystery,289994397
Peter Berg,102,Will Smith,Charlize Theron,Eddie Marsan,150000000,6.4,Hancock,Action|Drama,227946274
Francis Lawrence,104,Will Smith,Alice Braga,Willow Smith,150000000,7.2,I Am Legend,Drama|Horror|Sci-Fi,256386216
Tim Burton,115,Johnny Depp,Christopher Lee,David Kelly,150000000,6.7,Charlie and the Chocolate Factory,Adventure|Comedy|Family|Fantasy,206456431
Brad Bird,111,Janeane Garofalo,John Ratzenberger,Brian Dennehy,150000000,8,Ratatouille,Animation|Comedy|Family|Fantasy,206435493
Christopher Nolan,128,Christian Bale,Liam Neeson,Morgan Freeman,150000000,8.3,Batman Begins,Action|Adventure,205343774
Eric Darnell,89,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer,150000000,6.7,Madagascar: Escape 2 Africa,Action|Adventure|Animation|Comedy|Family,179982968
Shawn Levy,105,Robin Williams,Rami Malek,Steve Coogan,150000000,5.9,Night at the Museum: Battle of the Smithsonian,Adventure|Comedy|Family|Fantasy,177243721
Gavin Hood,119,Hugh Jackman,Ryan Reynolds,Dominic Monaghan,150000000,6.7,X-Men Origins: Wolverine,Action|Adventure|Fantasy|Sci-Fi|Thriller,179883016
Lana Wachowski,129,Essie Davis,Collin Chou,Nona Gaye,150000000,6.7,The Matrix Revolutions,Action|Sci-Fi,139259759
Chris Buck,102,Josh Gad,Maurice LaMarche,Livvy Stubenrauch,150000000,7.6,Frozen,Adventure|Animation|Comedy|Family|Fantasy|Musical,400736600
Lana Wachowski,138,Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis,150000000,7.2,The Matrix Reloaded,Action|Sci-Fi,281492479
Alan Taylor,112,Chris Hemsworth,Natalie Portman,Anthony Hopkins,170000000,7.1,Thor: The Dark World,Action|Adventure|Fantasy,206360018
George Miller,120,Tom Hardy,Charlize Theron,Zoë Kravitz,150000000,8.1,Mad Max: Fury Road,Action|Adventure|Sci-Fi|Thriller,153629485
Ron Howard,146,Tom Hanks,Ayelet Zurer,Armin Mueller-Stahl,150000000,6.7,Angels & Demons,Mystery|Thriller,133375846
Kenneth Branagh,115,Chris Hemsworth,Natalie Portman,Anthony Hopkins,150000000,7,Thor,Action|Adventure|Fantasy,181015141
Byron Howard,96,Chloë Grace Moretz,Diedrich Bader,James Lipton,150000000,6.9,Bolt,Adventure|Animation|Comedy|Drama|Family,114053579
Hoyt Yeatman,88,Kelli Garner,Piper Mackenzie Harris,Niecy Nash,150000000,5.1,G-Force,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,119420252
Jonathan Liebesman,99,Liam Neeson,Edgar Ramírez,Lily James,150000000,5.8,Wrath of the Titans,Action|Adventure|Fantasy,83640426
Tim Burton,113,Johnny Depp,Chloë Grace Moretz,Christopher Lee,100000000,6.2,Dark Shadows,Comedy|Fantasy|Horror,79711678
Christopher McQuarrie,131,Tom Cruise,Jeremy Renner,Sean Harris,150000000,7.4,Mission: Impossible - Rogue Nation,Action|Adventure|Thriller,195000874
Joe Johnston,119,Anthony Hopkins,Simon Merrells,Art Malik,150000000,5.8,The Wolfman,Drama|Fantasy|Horror|Thriller,61937495
David Yates,110,Christoph Waltz,Alexander Skarsgård,Casper Crump,180000000,6.6,The Legend of Tarzan,Action|Adventure|Drama|Romance,124051759
Steve Hickner,91,Matthew Broderick,Oprah Winfrey,Rip Torn,150000000,6.2,Bee Movie,Adventure|Animation|Comedy|Family,126597121
Jennifer Yuh Nelson,90,Angelina Jolie Pitt,Gary Oldman,Mike Bell,150000000,7.3,Kung Fu Panda 2,Action|Adventure|Animation|Comedy|Family,165230261
M. Night Shyamalan,103,Seychelle Gabriel,Noah Ringer,Aasif Mandvi,150000000,4.2,The Last Airbender,Action|Adventure|Family|Fantasy,131564731
J.J. Abrams,124,Philip Seymour Hoffman,Tom Cruise,Eddie Marsan,150000000,6.9,Mission: Impossible III,Action|Adventure|Thriller,133382309
Roland Emmerich,131,Channing Tatum,Jake Weber,Matt Craven,150000000,6.4,White House Down,Action|Drama|Thriller,73103784
Simon Wells,88,Elisabeth Harnois,Dan Fogler,Tom Everett Scott,150000000,5.4,Mars Needs Moms,Action|Adventure|Animation|Comedy|Family|Sci-Fi,21379315
David Bowers,85,Hugh Jackman,Kate Winslet,David Suchet,149000000,6.7,Flushed Away,Adventure|Animation|Comedy|Family,64459316
Joe Wright,111,Hugh Jackman,Cara Delevingne,Nonso Anozie,150000000,5.8,Pan,Adventure|Family|Fantasy,34964818
Rob Minkoff,92,Ty Burrell,Zach Callison,Karan Brar,145000000,6.9,Mr. Peabody & Sherman,Adventure|Animation|Comedy|Family|Sci-Fi,111505642
Wolfgang Petersen,196,Brad Pitt,Orlando Bloom,Julian Glover,175000000,7.2,Troy,Adventure,133228348
Eric Darnell,93,Jada Pinkett Smith,Martin Short,Cedric the Entertainer,145000000,6.9,Madagascar 3: Europe's Most Wanted,Adventure|Animation|Comedy|Family,216366733
Lee Tamahori,133,Toby Stephens,Colin Salmon,Rick Yune,142000000,6.1,Die Another Day,Action|Adventure|Thriller,160201106
Paul Feig,116,Ed Begley Jr.,Kate McKinnon,Zach Woods,144000000,5.5,Ghostbusters,Action|Comedy|Fantasy|Sci-Fi,118099659
Michael Bay,153,Bruce Willis,Steve Buscemi,Will Patton,140000000,6.6,Armageddon,Action|Adventure|Sci-Fi|Thriller,201573391
Barry Sonnenfeld,88,Will Smith,Rosario Dawson,Rip Torn,140000000,6.1,Men in Black II,Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi,190418803
Robert Zemeckis,115,Robin Wright,Anthony Hopkins,Sebastian Roché,150000000,6.3,Beowulf,Action|Adventure|Animation|Fantasy,82161969
Alessandro Carloni,95,J.K. Simmons,Angelina Jolie Pitt,Wayne Knight,145000000,7.2,Kung Fu Panda 3,Action|Adventure|Animation|Comedy|Family,143523463
Brad Bird,133,Tom Cruise,Jeremy Renner,Michael Nyqvist,145000000,7.4,Mission: Impossible - Ghost Protocol,Action|Adventure|Thriller,209364921
Peter Ramsey,97,Hugh Jackman,Kamil McFadden,Khamani Griffin,145000000,7.3,Rise of the Guardians,Adventure|Animation|Family|Fantasy,103400692
Dean Parisot,90,John Michael Higgins,Richard Burgi,David Herman,100000000,6.1,Fun with Dick and Jane,Comedy|Crime,110332737
Edward Zwick,154,Tom Cruise,Tony Goldwyn,Chad Lindberg,140000000,7.7,The Last Samurai,Action|Drama|History|War,111110575
Ridley Scott,150,Christian Bale,María Valverde,Ben Mendelsohn,140000000,6.1,Exodus: Gods and Kings,Action|Adventure|Drama,65007045
J.J. Abrams,127,Chris Hemsworth,Leonard Nimoy,Bruce Greenwood,150000000,8,Star Trek,Action|Adventure|Sci-Fi,257704099
Sam Raimi,121,J.K. Simmons,James Franco,Kirsten Dunst,139000000,7.3,Spider-Man,Action|Adventure|Fantasy|Romance,403706375
Dean DeBlois,102,Gerard Butler,Djimon Hounsou,America Ferrera,145000000,7.9,How to Train Your Dragon 2,Action|Adventure|Animation|Comedy|Family|Fantasy,176997107
Alex Proyas,126,Gerard Butler,Elodie Yung,Bryan Brown,140000000,5.5,Gods of Egypt,Action|Adventure|Fantasy,31141074
Rob Cohen,121,Sam Shepard,Joe Morton,Richard Roxburgh,135000000,5,Stealth,Action|Adventure|Sci-Fi|Thriller,31704416
Zack Snyder,215,Matt Frewer,Billy Crudup,Stephen McHattie,130000000,7.7,Watchmen,Action|Drama|Mystery|Sci-Fi,107503316
Richard Donner,127,Jet Li,Rene Russo,Darlene Love,140000000,6.6,Lethal Weapon 4,Action|Crime|Thriller,129734803
Ang Lee,138,Kevin Rankin,Regi Davis,Celia Weston,137000000,5.7,Hulk,Action|Sci-Fi,132122995
Jon M. Chu,122,Channing Tatum,Dwayne Johnson,Elodie Yung,130000000,5.8,G.I. Joe: Retaliation,Action|Adventure|Sci-Fi|Thriller,122512052
Breck Eisner,124,Matthew McConaughey,Rainn Wilson,Delroy Lindo,130000000,6,Sahara,Action|Adventure|Comedy|Thriller,68642452
Hironobu Sakaguchi,106,Steve Buscemi,Ming-Na Wen,Jean Simmons,137000000,6.4,Final Fantasy: The Spirits Within,Action|Adventure|Animation|Fantasy|Romance|Sci-Fi,32131830
Joe Johnston,124,Chris Evans,Dominic Cooper,Hayley Atwell,140000000,6.9,Captain America: The First Avenger,Action|Adventure|Sci-Fi,176636816
Michael Apted,128,Colin Salmon,Maria Grazia Cucinotta,Desmond Llewelyn,135000000,6.4,The World Is Not Enough,Action|Adventure|Thriller,126930660
Peter Weir,138,James D'Arcy,Lee Ingleby,David Threlfall,150000000,7.4,Master and Commander: The Far Side of the World,Action|Adventure|Drama|History|War,93926386
Bill Condon,115,Robert Pattinson,Kristen Stewart,Taylor Lautner,120000000,5.5,The Twilight Saga: Breaking Dawn - Part 2,Adventure|Drama|Fantasy|Romance,292298923
George Miller,100,Robin Williams,Brad Pitt,Common,135000000,5.9,Happy Feet 2,Animation|Comedy|Family|Musical,63992328
Louis Leterrier,135,Ty Burrell,Peter Mensah,William Hurt,150000000,6.8,The Incredible Hulk,Action|Adventure|Sci-Fi,134518390
,60,Don Johnson,Philip Michael Thomas,John Diehl,1500000,7.5,Miami Vice,Action|Crime|Drama|Mystery|Thriller,
Steven Spielberg,117,Mark Rylance,Penelope Wilton,Rafe Spall,140000000,6.8,The BFG,Adventure|Family|Fantasy,52792307
Alejandro G. Iñárritu,156,Leonardo DiCaprio,Tom Hardy,Lukas Haas,135000000,8.1,The Revenant,Adventure|Drama|Thriller|Western,183635922
David Soren,96,Ryan Reynolds,Snoop Dogg,Ben Schwartz,135000000,6.5,Turbo,Adventure|Animation|Comedy|Family|Sport,83024900
Gore Verbinski,107,Johnny Depp,Ray Winstone,Stephen Root,135000000,7.2,Rango,Adventure|Animation|Comedy|Family|Western,123207194
Eric Darnell,92,Benedict Cumberbatch,Annet Mahendru,Andy Richter,132000000,6.7,Penguins of Madagascar,Adventure|Animation|Comedy|Family,83348920
Paul Greengrass,115,Matt Damon,Edgar Ramírez,Albert Finney,110000000,8.1,The Bourne Ultimatum,Action|Mystery|Thriller,227137090
