duration,budget,imdb_score,gross
124,130000000,7,126464904
77,120000000,5.4,64736114
109,115000000,6.6,93050117
134,105000000,6.7,57637485
117,100000000,6.2,58607007
135,120000000,6.1,43929341
121,120000000,5.3,30212620
117,117000000,6.3,76418654
124,120000000,7,89021735
140,113000000,7.6,380262555
142,115000000,6.7,310675583
92,115000000,8.1,289907418
138,120000000,6.7,132550960
136,115000000,6.5,474544677
98,135000000,7.3,187165546
116,78000000,5.1,
153,115000000,6,40911830
120,115000000,6.1,47952020
101,125000000,5.9,190871240
91,100000000,7.8,274084951
108,116000000,5.8,67155742
112,135000000,6.3,81638674
100,120000000,4.3,56114221
108,110000000,6.4,250863268
114,110000000,6.1,155181732
119,110000000,6.5,125332007
142,110000000,7.1,113330342
125,110000000,6.4,125531634
126,120000000,6.5,186336103
119,110000000,6.3,129995817
170,110000000,7.5,102608827
85,112000000,4.9,42776259
119,120000000,5.8,98780042
60,,7.6,
102,110000000,6.2,106369117
103,110000000,5.5,142614158
76,110000000,5.4,50026353
120,110000000,5.8,66002193
127,110000000,7.1,85463309
105,105000000,5.4,71017784
121,160000000,3.7,48068396
114,110000000,6.7,61656849
129,110000000,7.2,134520804
171,93000000,8.8,313837577
120,110000000,5.8,24004159
165,107000000,6.8,58183966
82,109000000,3.8,100446895
115,120000000,7.1,144795350
194,130000000,7.2,47396698
84,133000000,5.9,140015224
97,105000000,7.1,104374107
151,108000000,8.1,228430993
22,,7.2,
136,126000000,6.9,35799026
104,90000000,4.4,6712451
127,90000000,6.5,101643008
171,103000000,8.5,187670866
145,102000000,7.7,132014112
174,100000000,7.4,261970615
144,150000000,8,167007184
119,100000000,5.7,180011740
153,102000000,8.5,204843350
140,100000000,7,97030725
176,100000000,7.8,130127620
141,115000000,7.2,146282411
106,100000000,6.4,65452312
98,100000000,5.5,148383780
116,100000000,6.7,119219978
115,100000000,6.1,101228120
165,100000000,8.5,162804648
91,100000000,6.9,100117603
78,100000000,7.3,89296573
103,92000000,6.7,85017401
131,100000000,6.9,173005002
104,100000000,5.1,75030163
101,100000000,6.8,77222184
111,150000000,5.8,34964818
102,100000000,6.7,107515297
103,100000000,6,67631157
121,83000000,5.7,66862068
143,100000000,8,57366262
240,100000000,8.2,116866727
121,100000000,5.4,184031112
129,105000000,7.2,54700065
172,102000000,7.5,27098580
101,80000000,7,55673333
87,100000000,3.3,40198710
101,100000000,6,72660029
95,140000000,7.1,38120554
102,100000000,5.4,49392095
131,90000000,6.1,39292022
114,105000000,5.3,28772222
94,84000000,2.2,17010646
122,100000000,7,24985612
95,100000000,3.8,4411102
115,100000000,6.9,35024475
88,99000000,7.2,130174897
110,10000000,7.3,10200000
130,98000000,6.3,202007640
216,100000000,7.5,77679638
146,94000000,7.6,9213
85,100000000,6.8,58867694
93,90000000,5.2,59475623
152,92000000,7.7,108638745
85,95000000,6.2,86897182
126,93000000,7.7,63540020
146,100000000,4.3,95328937
89,95000000,6.9,50802661
88,95000000,6.6,161317423
105,95000000,7,201148159
135,65000000,6.7,43982842
100,94000000,8.2,380838870
192,94000000,8.9,377019252
172,94000000,8.7,340478898
102,95000000,5.5,17176900
100,115000000,5.7,131144183
119,100000000,6.3,23014504
92,93000000,5.9,181166115
105,93000000,7.6,176740650
107,90000000,6.6,71148699
101,92000000,5.3,67344392
137,107000000,6,22406362
115,92000000,8,261437578
124,98000000,5.6,11000000
118,95000000,5.9,88761720
98,90000000,7.3,250147615
82,90000000,7.9,245823397
98,100000000,6.8,81557479
90,90000000,6.6,226138454
130,100000000,6.6,155370362
90,100000000,7,124870275
94,90000000,7,196573705
114,90000000,7.3,58229120
94,92000000,5.5,125305545
151,90000000,8.5,132373442
88,90000000,7.5,120618403
121,92000000,7,110416702
158,90000000,7.8,102515793
128,90000000,7.6,100012500
128,90000000,7.6,209019489
141,,6.1,
95,120000000,6.8,84037039
92,90000000,5,85884815
121,75000000,7.1,83077470
113,90000000,5.5,100018837
106,88000000,5.6,78747585
146,100000000,7.1,78616689
88,90000000,4.9,75817994
150,90000000,7.4,100853835
119,95000000,5.7,73209340
128,80000000,6.4,72515360
106,90000000,5.9,68558662
117,95000000,5.5,65653758
129,90000000,6.9,64685359
116,68000000,6.2,61355436
114,92000000,7,26871
114,90000000,5.6,60874615
96,90000000,7,143618384
132,100000000,6.8,58220776
104,90000000,5.4,47474112
111,86000000,6.1,42877165
138,100000000,6.7,35168677
100,120000000,4.3,56114221
129,20000000,6.9,37567440
144,88000000,8,61644321
110,90000000,4.4,190562
140,87000000,7.3,120147445
113,92000000,6.3,241688385
106,38000000,6.7,144512310
143,90000000,7.7,233630478
108,100000000,6.5,197992827
108,75000000,7.8,176049130
124,85000000,6.4,172620724
116,85000000,7.8,183405771
110,75000000,5.8,20315324
91,85000000,7.1,148313048
107,85000000,7.1,127706877
44,,8.6,
115,85000000,6.8,126149655
100,85000000,4.8,66941559
104,75000000,6.2,78009155
138,85000000,6.9,63224849
140,90000000,7.3,111544445
120,85000000,6.6,112703470
122,85000000,6.9,117144465
83,85000000,6.2,84303558
139,85000000,6.7,150832203
131,68000000,7.6,51396781
104,85000000,6.7,47592825
130,70000000,6.2,50016394
145,85000000,7.3,57010853
104,85000000,6,62494975
97,100000000,7.1,46440491
178,90000000,7.1,44606335
108,85000000,5.5,40048332
123,,7.8,
106,85000000,5.6,64933670
112,60000000,7.5,31494270
135,60000000,5.4,31111260
109,65000000,4.3,123307945
86,84000000,4.9,153288182
95,35000000,7.1,13401683
107,70000000,6.4,137340146
130,8000000,6.9,
82,85000000,4.3,43575716
88,85000000,6.1,80170146
120,85000000,7,75754670
162,65000000,7.7,33048353
123,82000000,5.9,34543701
101,81000000,6.7,242589580
113,80000000,6.5,102981571
110,80000000,7.1,180965237
142,78000000,7.3,407999255
102,80000000,6.5,254455986
126,80000000,7,162831698
83,80000000,6.8,155019340
85,80000000,7.2,145771527
97,,6.4,82506325
120,75000000,6.1,140459099
116,84000000,6.7,53215979
113,82000000,6.4,158115031
87,75000000,4.4,133103929
101,80000000,5.4,133668525
110,80000000,6.5,130313314
128,80000000,6.7,124590960
138,80000000,8.1,127968405
88,80000000,5.6,120136047
91,75000000,6.3,128200012
138,80000000,7.3,112225777
99,80000000,6.1,109993847
117,80000000,7.7,104054514
117,80000000,6.4,103028109
54,,8.8,
123,75000000,6.8,101087161
118,80000000,6.6,101111837
154,79000000,7.2,95632614
118,80000000,6.9,94822707
90,80000000,5.2,92969824
113,80000000,4.9,91188905
88,80000000,6.3,90443603
93,65000000,5.6,82226474
104,80000000,5.5,79363785
135,75000000,6.7,76081498
134,68000000,7.6,85707116
98,70000000,5.7,74329966
80,80000000,4.6,100169068
83,80000000,7,73215310
102,80000000,5.2,80360866
130,80000000,5.1,69102910
129,80000000,6.6,65948711
117,,7,821997
89,80000000,6.7,169692572
25,,7.6,
74,80000000,7.3,60507228
96,80000000,5.9,56684819
114,90000000,5.6,50628009
99,80000000,6.5,69772969
129,75000000,5.9,45356386
113,85000000,7,55350897
90,80000000,5.3,39442871
118,88000000,5.9,37899638
106,70000000,6.3,37754208
81,,6.4,
117,,6.9,27779888
89,80000000,6.3,38542418
145,80000000,7.3,34566746
114,80000000,5.8,32885565
87,80000000,5.2,36073232
119,44000000,2.4,21471685
91,80000000,5.7,20950820
118,80000000,5.8,19673424
116,80000000,5.6,19480739
177,80000000,6,17593391
97,80000000,5.8,18318000
106,90000000,6,27356090
106,70000000,5.7,17473245
94,86000000,6,15131330
104,40000000,7.8,19406406
102,52000000,4.2,1891821
105,80000000,5.6,23219748
89,8000000,4.4,
135,58000000,8.2,170708996
73,45000000,8.5,422783777
94,79000000,5.8,103812241
95,78000000,6.5,119793567
124,78000000,7.2,92930005
136,100000000,6.7,67286731
91,79000000,3.4,74158157
107,76000000,5.9,127083765
108,81200000,7.8,1339152
99,80000000,5.9,15071514
92,76000000,4.1,26000610
87,75000000,6.8,323505540
110,78000000,5.8,66462600
98,76000000,7.5,368049635
154,75000000,6.9,306124059
129,73000000,6.5,229074524
86,75000000,6.9,193136719
109,76000000,7.9,35286428
104,75000000,7.4,157299717
110,75000000,6.7,134568845
136,75000000,7.4,134006721
115,80000000,6.9,195329763
99,75000000,6.8,120776832
117,75000000,6.7,118823091
125,50000000,5.1,41814863
110,75000000,4.1,97360069
125,75000000,7.3,117698894
102,80000000,6,162001186
128,60000000,7.3,77032279
43,,7.5,
100,35000000,5.4,73023275
124,75000000,5.9,68473360
102,75000000,7.1,66636385
90,75000000,6,160762022
130,70000000,6.5,103338338
45,,8.3,
118,53000000,5.7,55808744
163,70000000,7.6,47379090
142,70000000,6.6,43426961
100,75000000,5.4,47000485
116,75000000,7.3,45434443
131,80000000,6.5,42044321
91,75000000,6.6,73661010
123,80000000,6.6,41523271
134,55000000,5.9,37600435
148,75000000,6.7,39251128
110,75000000,6.1,83503161
113,52000000,6.6,34636443
94,75000000,6.6,22751979
116,75000000,5.3,30013346
99,75000000,6,14567883
84,,6,90820
93,75000000,4.7,5409517
113,45000000,6.1,21009180
106,75000000,7.2,94999143
91,74000000,6.4,336029560
128,82000000,6.1,36381716
98,69000000,5.9,55585389
134,75000000,6,36976367
97,73000000,6.3,107225164
112,70000000,5.6,70224196
153,75000000,6.4,51814190
110,70000000,7.1,47456450
122,73000000,6.6,148213377
87,72000000,4.6,112950721
178,72000000,8.4,75600000
125,70000000,7.1,62647540
87,75000000,7.4,183132370
152,72000000,6.9,27796042
116,72000000,4.5,32616869
109,59660000,7.1,18947630
108,60000000,6.5,114195633
85,71500000,5.3,144156464
106,72000000,6.7,227965690
93,150000000,7.2,436471036
117,120000000,7.2,244052771
116,70000000,5.5,152149590
132,70000000,5.8,141204016
92,74000000,6,162495848
139,80000000,6.6,136448821
153,75000000,8.3,120523073
142,70000000,6.7,119654900
101,100000000,6,72660029
124,70000000,7.1,117541000
117,80000000,6,116643346
45,,7.5,
141,68000000,6.9,100614858
110,70000000,5.6,42272747
109,60000000,5.6,80281096
88,75000000,4.5,219613391
124,75000000,7.1,78120196
119,70000000,6.5,98895417
103,58000000,6.4,70117571
116,70000000,5.8,83552429
125,70000000,8,66257002
125,70000000,6.2,65012000
146,66000000,7.2,79883359
118,70000000,6.1,78031620
171,69500000,7.6,54222000
136,70000000,6.3,52474616
92,70000000,6.3,55942830
116,70000000,6.3,40932372
127,70000000,7.7,38345403
136,70000000,7,37901509
111,70000000,5.3,48430355
116,70000000,5.6,30157016
113,60000000,5.2,28031250
97,70000000,5.4,33105600
88,70000000,6.4,62321039
136,75000000,5.9,38509342
125,60000000,6.3,19076815
116,35000000,6.5,25093607
98,70000000,3,18990542
91,70000000,3.6,14294842
97,70000000,5.8,19819494
95,70000000,6.2,13596911
88,70000000,5.6,8460990
133,70000000,5.4,7097125
106,70000000,6.1,37760080
116,70000000,4.2,5851188
115,50000000,6.7,25121291
99,70000000,4.2,18821279
124,68000000,6.4,118471320
124,68000000,4.9,300523113
124,68000000,6.8,71069884
87,69000000,7.7,251501645
105,68000000,5.6,35324232
125,68000000,6.4,81257500
141,70000000,7.2,617840
121,65000000,6,29655590
111,36000000,5.9,45045037
157,68000000,7.9,28965197
117,,6.8,27550735
128,70000000,7.1,39380442
114,,5.9,72980108
105,69000000,5.9,37516013
113,66000000,6.2,87704396
30,,7.4,
121,66000000,7,83892374
102,35000000,5.4,5932060
169,70000000,8.6,216119491
132,66000000,6.5,43568507
127,70000000,6.4,182805123
103,59000000,7.6,176387405
136,68000000,5.5,33685268
150,65000000,7.4,182204440
136,63000000,8.7,171383253
140,62000000,7.6,172071312
113,65000000,7.5,119412921
104,60000000,5.5,139225854
158,61000000,7.6,148775460
119,65000000,6.5,115731542
106,65000000,6.9,100468793
136,65000000,6.7,93771072
95,65000000,6.6,100448498
137,65000000,7.2,115603980
130,65000000,6.4,90454043
124,70000000,6.4,84049211
108,50000000,6,70450000
104,60000000,6.1,69688384
129,63000000,6,70236496
117,65000000,6.4,63695760
99,65000000,6.4,59617068
159,65000000,7.3,55637680
118,65000000,5.2,85911262
105,50100000,6.6,53846915
103,65000000,6.3,54758461
122,65000000,5.9,52397389
114,16900000,6.4,
143,65000000,6.7,38966057
96,65000000,5.4,42345531
111,45000000,6.4,36064910
121,65000000,6.7,33328051
135,65000000,6.2,32598931
101,65000000,6.1,28045540
151,63000000,8.8,37023395
131,65000000,7.1,43532294
60,,8.1,
100,70000000,5.7,17218080
105,65000000,5,10014234
92,65000000,5.1,19059018
130,50000000,6.9,1987287
100,43000000,4.8,24407944
102,65000000,6.5,13750556
133,64000000,5.1,31054924
121,55000000,7.1,43247140
147,50000000,7.5,2208939
94,63000000,6.2,213079163
94,65000000,6.3,19548064
127,63000000,8.1,356784000
212,63000000,6.6,25052000
141,62000000,6.9,122012710
103,65000000,6.1,72413
98,64000000,4.3,58255287
116,62000000,6.6,77086030
114,62000000,6.8,65000000
87,62000000,3.8,32178777
125,42000000,5.9,15738632
187,44000000,7.9,54116191
93,61000000,6.3,118153533
95,63000000,5.5,108012170
117,65000000,7.7,210592590
106,80000000,6.3,279167575
115,60000000,7.1,143151473
189,60000000,8.5,136801374
100,,5.9,168213584
81,150000000,5.8,135381507
149,61000000,8.1,167735396
119,60000000,7.9,121468960
130,58000000,7.2,106635996
116,95000000,6.3,102678089
103,60000000,8.1,125603360
99,70000000,7,101217900
92,60000000,5.5,104148781
109,61000000,6.7,75573300
87,60000000,5.2,93375151
111,60000000,7,106126012
101,60000000,6.1,93307796
83,105000000,6.6,90646554
113,60000000,5.5,109176215
107,60000000,5.9,82670733
94,60000000,5.4,82569532
132,61000000,6.4,81687587
140,60000000,5.7,80574010
125,60000000,6.7,75764085
111,58000000,7.1,90356857
156,55000000,6.8,75530832
170,60000000,6.5,75370763
120,65000000,7.6,100003492
100,60000000,5.5,90341670
115,55000000,6.5,74540762
130,60000000,7,80033643
105,60000000,5.8,73648142
111,60000000,7.3,71844424
106,60000000,6.6,75638743
89,60000000,4.4,66734992
100,60000000,7.7,75280058
91,48000000,5,64505912
146,70000000,7.7,77862546
98,50000000,4.4,61112916
101,60000000,6.1,88200225
94,60000000,5.4,60573641
132,66000000,6.8,59035104
115,60000000,6.5,56702901
92,60000000,7,55994557
124,60000000,6.3,54910560
119,60000000,6.3,53789313
124,60000000,6.1,51045801
93,60000000,6.1,50818750
22,,7.3,
98,60000000,5.3,50189179
92,60000000,5.4,50024083
105,60000000,6.2,50549107
124,60000000,6.6,56443482
99,60000000,5.9,62401264
116,75000000,6.3,47748610
124,61000000,7.2,46975183
96,60000000,6.8,50807639
104,48000000,6.1,46611204
100,60000000,7.8,257756197
115,45000000,5,48472213
101,60000000,6.2,43060566
113,60000000,6.7,45996718
100,60000000,4.9,43337279
134,60000000,7.4,37479778
127,,7.1,36965395
125,60000000,6.2,40559930
94,65000000,4.9,36830057
107,60000000,6.1,36279230
91,70000000,6.1,42194060
116,60000000,6.4,43119879
100,60000000,6.3,35096190
111,,6.8,35754555
117,80000000,6.6,43290977
110,40000000,5.7,33927476
96,60000000,5.9,32122249
101,60000000,6,40076438
111,60000000,6.1,32940507
117,60000000,6.7,31670931
126,60000000,6.7,30695227
152,60000000,7.9,32522352
86,,5,28424210
101,87000000,4.3,26082914
87,60000000,5.7,29136626
85,60000000,6.7,26288320
130,60000000,6.7,26616590
173,220000000,8.1,623279547
104,60000000,6.1,30063805
121,50000000,5.6,22518325
140,60000000,6.6,13082288
131,60000000,6.9,18208078
91,65000000,4.8,14218868
118,60000000,6.2,22451
130,60000000,6,31165421
90,60000000,4.9,11802056
103,30000000,5.6,25472967
122,55000000,6.1,22362500
106,60000000,6.1,17281832
103,60000000,4.8,19781879
107,60000000,5.5,7605668
156,60000000,3.8,4535117
127,35000000,6.5,4426297
119,68005000,6,
132,80000000,6.7,10166502
108,58000000,8.1,363024263
114,60000000,4.9,12065985
133,58800000,7.3,350123553
103,58000000,6.4,80021740
22,3000000,6.6,
95,58000000,6.7,48291624
90,60000000,3.6,35231365
87,63000000,5.7,53715611
114,58000000,6,31199215
119,,4.9,
103,58000000,4.7,29580087
125,58000000,6.3,44665963
97,60000000,5.9,60128566
125,58000000,5.9,49875589
30,,7,
136,57000000,7.5,60984028
116,70000000,5.6,36931089
103,57000000,6.4,51317350
97,58000000,6.3,28328132
96,57000000,4.3,51774002
131,57000000,5.9,25528495
22,,6.7,
95,56000000,5.5,113006880
86,56000000,6.2,45860039
142,55000000,8.8,329691196
92,60000000,5.2,217326336
108,55000000,7,166225040
84,55000000,6.6,141600000
188,55000000,7.3,134218018
95,54000000,5.6,128769345
118,70000000,6.6,177575142
92,55000000,5.4,105263257
74,55000000,6.3,104354205
134,55000000,7.9,107100855
101,55000000,6.3,98711404
100,50000000,6,100328194
132,55000000,7.2,101530738
105,55000000,5.1,93815117
123,53000000,7.3,91400000
117,55000000,8,162586036
98,55000000,6.2,89706988
128,55000000,6,83000000
114,55000000,6.7,78745923
111,30000000,8.1,70098138
85,55000000,6.4,66365290
44,1400000,8.4,
137,30000000,8,66207920
97,55000000,6.3,63408614
104,55000000,6.4,58422650
110,55000000,6.6,56932305
133,55000000,6.4,68750000
94,55000000,6,68218041
104,55000000,6.6,25040293
91,55000000,5.9,55747724
145,50000000,6.4,55473600
135,55000000,6.3,49994804
122,55000000,7.3,41609593
110,55000000,6.8,38553833
95,55000000,7.2,76137505
102,68000000,5.7,34350553
94,55000000,6,34238611
126,55000000,6.5,34098563
118,55000000,5.8,33828318
99,55000000,5.8,33472850
88,55000000,6.7,31051126
141,55000000,7.8,35707327
107,50000000,5.6,20550712
116,55000000,5.8,18573791
143,70000000,7.4,51225796
114,55000000,6.9,16264475
93,62000000,5.5,25857987
280,56000000,6.3,12870569
100,71000000,4.7,11466088
107,55000000,5.6,16088610
119,50000000,6.4,51178893
95,57000000,4.2,6768055
119,55000000,6.4,39440655
133,47000000,7.7,6167817
152,2000000,7.7,
96,55000000,5.3,
117,54000000,6.7,81645152
123,55000000,7.7,69951824
92,55000000,5.7,9483821
170,54000000,7.6,66676062
123,57000000,6.4,26838389
110,54000000,5.6,75604320
116,54000000,6.8,108200000
121,54000000,2.4,5660084
128,55000000,6.2,7221458
99,46000000,5.9,70327868
94,50000000,7.1,58297830
127,52500000,7.6,57386369
89,53000000,5.5,45207112
123,53000000,7,62563543
135,90000000,7.1,33574332
118,50000000,7.4,73343413
189,53000000,7.6,25031037
172,55000000,5.9,22843047
124,55000000,5.9,5755286
141,52000000,8,164435221
157,40000000,7.4,95720716
106,52000000,5.8,118683135
108,52000000,6.3,143704210
125,52000000,5.7,110476776
107,50000000,5.1,80270227
215,52000000,7.6,36385763
118,52000000,6.4,37035845
118,52000000,7.4,34580635
178,52000000,8.2,42438300
92,52000000,6.5,23324666
104,52000000,5.5,23020488
116,51000000,6.5,90567722
90,51000000,5.6,72601713
93,,4.9,35092918
130,50000000,4.6,296623634
90,60000000,7.9,267652016
106,50200000,7.1,62453315
155,48000000,6.9,165500000
139,50000000,7.3,153620822
112,50000000,7,218628680
139,50000000,7.7,147637474
115,50000000,6.7,135014968
143,50000000,6.3,2175312
96,50000000,5.8,126203320
112,50000000,7.1,126975169
131,52000000,7.3,125548685
116,50000000,6.4,105807520
112,50000000,7.1,191616238
123,60000000,7.6,105264608
104,70000000,6.8,97680195
107,50000000,6.6,126088877
124,50000000,6.7,91030827
96,50000000,6.1,150315155
125,50000000,6,127997349
129,45000000,7.6,88504640
90,50000000,7.1,81517441
109,50000000,5,81022333
124,,7.1,75621915
121,50000000,6.2,79948113
95,50000000,5.6,88658172
128,,5.4,75888270
118,50000000,7.4,84244877
80,35000000,5,75367693
99,60000000,5.2,73701902
133,50000000,7.6,75605492
127,50000000,6.6,67823573
106,50000000,7,91439400
98,65000000,5.7,67128202
132,54000000,8.2,70496802
114,50000000,6.2,60470220
45,,7.9,
78,50000000,6.6,58336565
101,50000000,4.7,66002004
113,50000000,6.3,54997476
98,50000000,6.1,55682070
124,50000000,6.7,52752475
109,60000000,6.1,55092830
128,50000000,7,50815288
144,50000000,7.4,52822418
95,50000000,7.3,50150619
105,50000000,5.8,48745150
121,50000000,6.7,50007168
125,50000000,5.8,48154732
129,50000000,7.8,48265581
132,50000000,6.6,46982632
118,50000000,6.5,44737059
113,50000000,6.7,56724080
140,50000000,7.3,44484065
89,50000000,5.8,47553512
104,55000000,5.5,42610000
106,50000000,6.3,41482207
141,50000000,7.4,47105085
124,50000000,5.9,41256277
98,45000000,6.2,50740078
108,40000000,5.9,40203020
114,50000000,6.5,40905277
101,50000000,4.4,38590500
93,50000000,3.5,39177541
119,50000000,6.6,39778599
119,50000000,6,37486138
99,40000000,6.4,38105077
137,50000000,6.5,35168395
105,,7.8,
117,40000000,4.3,32800000
87,50000000,4.2,33643461
129,50000000,6.5,32741596
115,50000000,6.1,31874869
132,50000000,6.3,30306268
131,50000000,6.2,27667947
95,50000000,5.9,27067160
125,40000000,5.9,26616999
98,50000000,6.5,26536120
110,50000000,6.4,26199517
118,50000000,6.5,25450527
101,50000000,5.7,25407250
60,,7.5,
90,70000000,8,23159305
119,50000000,7.3,24006726
139,50000000,6.7,20389967
130,50000000,7.5,19593740
100,40000000,5.4,19118247
114,50000000,6.6,26442251
96,25000000,7.7,17114882
110,50000000,5.8,18472363
158,390000000,6.4,14131298
102,49900000,5.6,21557240
84,55000000,6,21283440
115,50000000,6.2,10556196
99,50000000,5.9,16671505
135,50000000,5.1,10400000
108,22000000,6.8,9528092
43,,7,
127,50000000,6,10137232
107,50000000,5.1,9795017
95,50000000,5.8,20488579
124,60000000,6.2,19445217
