duration,imdb_score,budget,gross,release_month
172,5.9,5.50E+07,22843047,10
99,4.5,1200000,NA,10
141,6.1,NA,NA,12
112,6.7,3500159,32541719,4
122,7.1,9.00E+06,NA,4
95,6.1,3.00E+06,NA,5
86,6.1,5.00E+05,39552600,10
115,6.3,1.50E+08,82161969,4
99,6.8,5.00E+06,9203192,11
90,7.5,6.00E+06,18621249,9
98,7.2,250000,3799339,1
91,3.7,2.00E+07,94497271,10
105,7.3,1.40E+07,234760500,11
100,6.4,2.80E+07,153665036,5
104,5.5,5.50E+07,42610000,5
127,6.5,3.50E+07,4426297,10
110,6.1,1100000,56129,12
116,6.9,7.00E+06,14612840,9
108,7.6,5.00E+05,2047570,10
118,6.7,2.30E+07,6144806,12
109,6.2,9.00E+05,9000000,7
132,6.8,1.00E+08,58220776,12
130,7.3,1.80E+07,114968774,6
93,6.4,34200000,163479795,6
106,7,1.00E+07,14479776,12
88,5.4,1.50E+07,47811275,2
125,8,7.00E+07,66257002,12
102,7.9,1.65E+08,222487711,10
107,6.5,4.00E+07,20113965,2
99,5.1,3.00E+07,117559438,5
99,4.6,4.00E+07,70163652,1
113,4.4,3.20E+07,37911876,2
74,6.5,4.00E+07,7262288,5
99,7.3,2.50E+07,11100000,5
93,6.2,2.00E+07,38037513,7
90,6.9,1.00E+07,40485039,2
110,7.7,5.00E+06,21994911,5
100,6.1,2.00E+07,5005883,9
93,6.1,1.30E+07,4919896,9
148,7.5,NA,5100937,10
98,4.3,5.00E+05,NA,2
94,4.5,9.00E+06,16235293,12
152,7.7,9.20E+07,108638745,12
95,4.8,5.00E+07,33422806,11
123,7,5.30E+07,62563543,9
93,4.4,17500000,7017178,11
95,5.6,7500000,NA,12
121,6.6,9.00E+06,21569041,9
125,6.6,3.00E+07,45645204,9
83,4.7,NA,NA,1
116,7,1.50E+07,9396487,12
108,8,1.30E+07,106952327,12
133,5.4,7.00E+07,7097125,1
102,6.6,NA,199652,8
110,7.1,4.50E+07,70001065,8
117,6.7,5.40E+07,81645152,3
117,8.2,2.80E+07,27000000,6
122,5.9,6.50E+07,52397389,12
93,6.3,6.10E+07,118153533,3
112,6.6,3.50E+07,26494611,2
93,7.8,2600000,119500000,2
100,4.2,1200000,NA,6
117,6.5,4.00E+07,46280507,5
107,5.1,4.00E+07,29374178,8
121,6.6,2.50E+07,3073392,5
93,3.9,1.00E+07,5561,12
98,5.5,NA,3525161,1
101,6.1,2.20E+07,1075288,10
143,8,1.00E+08,57366262,12
128,6.7,NA,82739,2
144,6.5,25500000,41229,8
110,6.4,5.00E+07,26199517,8
92,2.9,2.50E+07,1550000,10
92,6.8,1100000,11806119,2
107,7.7,2.00E+06,768045,1
124,7.6,3.00E+07,52937130,4
107,7.4,1.80E+07,NA,7
88,6.7,1.00E+06,464126,1
104,5.6,3.00E+07,40118420,8
98,7.3,1.80E+07,33404871,7
108,6,1200000,594904,4
90,7.1,1066167,258113,4
93,6.3,6.50E+07,68208190,9
112,7.4,3500000,9701559,12
97,4.9,2.00E+07,8586376,10
112,7,1.40E+07,11204499,9
128,6.7,NA,2694071,4
114,6.8,1.00E+07,NA,10
128,7.1,7.00E+07,39380442,10
110,5.3,3.00E+07,4357000,9
120,7,8.00E+06,16938179,2
96,6.9,1.50E+08,114053579,11
116,7,8.00E+06,NA,7
114,6.9,2.00E+07,2353728,4
89,4.1,2.00E+07,46363118,2
155,7.9,1.50E+07,26384919,9
90,4,1.50E+07,26421314,10
119,7.1,1614000,NA,8
117,5.4,4.00E+07,70100000,6
82,7.3,1.80E+07,128505958,11
145,7.2,1.40E+07,70001698,12
91,7.1,7.00E+06,1040879,2
110,6.8,5.00E+06,4040588,8
109,7.4,4500000,3798532,9
85,6.4,5.50E+07,66365290,8
120,8,4.00E+06,21244913,10
165,8,4.00E+06,25359200,6
105,6.5,1500000,3123749,8
94,5.3,1.60E+07,20627372,6
118,7.6,2.00E+06,11533945,9
112,7.8,6.00E+06,57504069,7
81,5.8,4.20E+07,59992760,7
155,7.5,4.00E+07,82522790,2
88,6.3,6500000,110029,8
93,7.2,1.85E+08,237282182,6
178,8.4,7.20E+07,75600000,5
142,8,1.50E+07,9929000,2
93,6.9,3.60E+07,50129186,5
110,4.6,1.20E+07,175370,2
85,5.5,NA,11827301,5
88,6.2,15000,76382,3
101,6.7,NA,1094998,11
100,5.7,2.80E+07,20285518,4
122,6.2,7.00E+06,6601079,2
89,5.3,2.50E+07,32368960,10
89,5.4,3.00E+07,58715510,1
131,6.8,32500000,169076745,4
142,7.6,4.00E+07,72306065,10
96,7.2,1.70E+07,82234139,2
97,6.7,2.60E+07,71500556,4
108,5.9,4.00E+07,40203020,11
119,7.2,1.00E+06,798341,3
107,5.6,2.50E+07,16118077,4
119,7,8500000,4440055,11
111,5.7,1.20E+07,NA,12
98,5.9,1.00E+07,68353550,8
105,5.5,3.30E+07,132541238,3
121,6.8,5.50E+07,16640210,10
134,7.7,1.40E+07,83025853,9
100,6.4,2.50E+07,10114315,8
108,6,5.00E+07,70450000,8
109,6.2,3.50E+07,19692608,1
101,5.7,1.50E+07,NA,3
90,6.6,6.00E+05,13493,4
92,7.1,NA,104792,10
111,7.5,1.10E+07,38317535,10
132,6.7,1.70E+07,27154426,1
99,6.4,8.00E+06,398420,4
114,7.2,1.00E+07,447750,9
89,7.2,1900000,444044,4
105,7.1,2.60E+07,28501651,1
109,6.5,8.00E+06,27362712,10
101,6.7,8.10E+07,242589580,5
84,5.6,1.30E+07,5002310,8
97,3.3,1.00E+07,2331318,9
110,7.5,1500000,2365931,1
98,6.9,1.50E+07,353743,9
92,5.7,5.50E+07,9483821,1
104,5.5,5.20E+07,23020488,3
98,7.5,2.00E+07,13383737,10
115,7,NA,510092,6
108,6.8,3.00E+07,26525834,5
95,7,3.00E+06,1028658,9
119,6.4,5.50E+07,39440655,11
86,7.5,225000,111300,11
96,7,3.70E+07,60338891,9
101,6.6,2.00E+07,13650738,10
85,6.6,1200000,2199853,9
110,8.1,6.00E+06,102308900,9
108,4.5,NA,NA,2
78,8.7,180000,NA,3
122,5.3,1.00E+07,531009,4
96,5.5,1250000,NA,8
118,6,7.00E+06,46451,4
99,3.7,NA,NA,2
98,7.4,6.00E+06,39800000,7
109,7,1.20E+07,8134217,12
86,7.5,2.00E+05,215185,10
100,6.5,1.00E+07,25339117,6
124,4.5,2.00E+07,2000000,6
128,7.3,3.50E+07,79100000,4
105,7.4,NA,14359793,9
110,7.4,7.00E+06,28747570,9
130,6.8,5.00E+06,NA,12
147,8.2,2.50E+08,407197282,4
124,6.9,1.40E+08,176636816,7
136,7.8,1.70E+08,259746958,3
131,5.9,5.70E+07,25528495,8
134,7.9,5.50E+07,107100855,10
97,5.3,2.00E+06,2557668,9
112,6.2,4500000,NA,12
80,7.2,2.50E+07,NA,9
100,5.9,3.00E+07,35266619,10
84,6,NA,90820,9
117,7.2,1.20E+08,244052771,6
106,6.3,2.00E+08,191450875,6
82,8.6,950000,NA,11
109,6.2,2.70E+07,13248477,8
178,8.2,5.20E+07,42438300,11
108,6.2,1.50E+07,1039869,9
144,8,1.50E+08,167007184,11
100,6,5.00E+07,100328194,5
143,7.7,9.00E+07,233630478,12
108,8.1,3.00E+06,NA,2
93,6.1,1.80E+07,NA,4
122,7.2,1.80E+07,NA,6
98,6.7,1.40E+07,4291965,10
141,8,5.20E+07,164435221,10
91,5.2,1.80E+07,16702864,2
87,5.2,6.00E+07,93375151,7
75,6.9,3.20E+07,3562749,3
87,3.3,1.00E+08,40198710,7
87,6.3,NA,6857503,2
113,6.3,1.20E+07,5032496,9
92,6.7,NA,3094687,8
94,6.5,2.50E+07,32003620,9
115,6.7,1.80E+07,17174870,5
107,6.6,5.00E+07,126088877,6
97,6.4,NA,122288,2
100,6.2,2.30E+07,2708188,2
88,4.1,5.00E+06,143000,10
88,3.5,5.00E+06,NA,1
107,5.6,5.00E+07,20550712,1
95,2.3,1.00E+07,306715,3
141,7.8,5.50E+07,35707327,1
91,6.5,4.50E+07,66790248,4
120,6.9,4.90E+07,31569268,3
125,7.2,5500000,58800000,5
94,5.5,9.20E+07,125305545,11
107,4.8,1.20E+08,100685880,6
115,6.7,1.50E+08,206456431,7
97,7,1.20E+07,3950294,2
99,6.5,4.40E+07,31136950,5
102,7.1,7.50E+07,66636385,12
97,6.4,NA,82506325,3
103,7.1,NA,NA,9
113,7.3,250000,12006514,4
101,6.1,2.30E+07,12189514,1
116,7.2,2.00E+07,6002756,10
76,4.8,NA,6126237,4
88,6.8,2.00E+05,59379,3
94,5.8,4.00E+07,138614544,12
94,5.4,6.00E+07,82569532,12
86,5,1.00E+06,18112929,5
113,7.2,4.50E+07,170684505,12
94,6.2,3.00E+06,NA,10
81,5.8,1.50E+08,135381507,11
84,7,4.50E+07,106793915,6
87,6.5,9.00E+06,33244684,12
72,5.7,1.30E+07,28501605,11
137,6.4,5.00E+07,1206135,3
90,6.1,1.00E+06,NA,4
109,7.9,7.60E+07,35286428,9
102,5.2,3.40E+07,11227940,9
96,6.3,1.10E+07,3074838,3
121,7.3,2.50E+07,71309760,12
160,4.8,1500000,49000,9
92,6.5,3.00E+06,2926565,9
95,5.1,NA,NA,12
89,5.8,2500000,NA,12
99,5.2,6.00E+07,73701902,11
89,7.1,1.20E+07,64572496,2
96,6.6,250000,1050600,1
105,7,9.50E+07,201148159,3
144,8,8.80E+07,61644321,6
87,6,NA,NA,10
107,5.9,NA,439958,8
109,5.9,4.00E+07,13838130,10
91,6.8,NA,12495865,11
111,6.2,4.00E+07,20300000,2
104,7.4,6.00E+06,6670712,3
114,6.7,5.50E+07,78745923,4
90,6.5,5.50E+07,7871693,10
116,6,17500000,325491,7
91,5.3,5.00E+05,243347,8
106,5.8,1.25E+08,163192114,3
98,6.6,4300000,NA,8
104,6.6,8.00E+06,1789892,9
110,6.9,4500,136007,9
141,6.9,6.20E+07,122012710,8
251,7,31115000,57750000,11
102,7.8,230000,3151130,9
97,7.4,5.00E+06,24138847,5
107,6.4,7.00E+07,137340146,6
124,6.4,7.00E+07,84049211,5
94,5.2,2.60E+07,36985501,3
96,6.4,NA,444354,1
135,7.7,19400870,128300000,11
80,4.9,3.00E+06,NA,12
98,7.3,2.70E+07,33987757,12
112,7.1,5.00E+06,NA,11
80,5.6,1800000,NA,12
172,7.5,1.02E+08,27098580,10
90,7,1.00E+08,124870275,9
95,6.5,7.80E+07,119793567,9
85,7,2.50E+07,80034302,1
119,5.6,8550000,4992159,2
97,6.8,1.20E+07,56631572,7
136,7.2,3.00E+07,67253092,1
124,7.5,NA,79900000,3
93,6.3,7500000,197148,9
91,4.5,2.00E+07,8104069,1
106,4.2,8.00E+06,NA,5
87,6.6,2.00E+06,NA,7
154,7.2,7.90E+07,95632614,12
120,7.6,6.50E+07,100003492,8
108,5.5,8.50E+07,40048332,2
94,4.6,6500000,4693919,8
112,6.4,4.00E+07,36665854,7
97,6.2,6.00E+06,117560,1
109,7.3,NA,377420,2
75,6.7,1.00E+07,NA,10
101,5,3.00E+06,3105269,3
90,6.4,270000,318622,8
123,6.8,7.50E+07,101087161,6
129,6.9,2.00E+07,37567440,4
103,5.8,1.80E+07,26400000,6
123,7.1,3.50E+07,34531832,11
113,7.1,2.90E+07,NA,12
89,4.6,1.50E+07,29302097,2
97,6.7,1.50E+07,12212417,4
109,5,5.00E+07,81022333,6
108,6.3,2.00E+07,8054280,4
88,6.1,1700000,NA,6
135,6.7,7.50E+07,76081498,8
150,7.4,9.00E+07,100853835,7
106,6.6,6.00E+07,75638743,3
77,4.8,NA,NA,7
109,6.5,2.50E+07,66489425,1
122,7.7,4500000,871577,12
84,7.1,450000,379122,6
98,6.9,1.50E+07,68856263,9
120,6.9,1.00E+07,44886089,8
107,5.6,3.70E+07,44867349,2
123,6.6,2.00E+07,32051917,10
104,6.8,1.10E+07,352786,9
100,7.7,6.00E+07,75280058,2
123,6.2,NA,756452,2
86,4.6,1.10E+07,23978402,10
77,7.4,4.00E+07,53337608,9
97,6.6,1200000,NA,5
111,6,50000,NA,2
117,6.3,1.50E+07,20218921,12
113,5.5,6.00E+07,109176215,9
118,7,2.00E+07,2246000,7
116,6.6,4.60E+07,58918501,7
129,7,2.00E+06,34522221,9
107,5.6,4.50E+07,60786269,7
101,5.8,3.00E+07,34604054,2
132,6.9,3.20E+07,2899970,12
93,7,1.20E+07,27829874,8
96,6.2,2.00E+07,13630226,4
115,7.9,6500000,54557348,1
112,7.3,7.00E+06,39462438,12
111,6.3,1.50E+07,1954202,10
118,7.4,5.00E+07,84244877,7
135,6.5,1.40E+07,16929123,6
97,5.5,1.00E+06,62480,3
133,7.7,3.50E+07,109712885,11
130,6.9,8.00E+06,NA,11
85,6,3500000,14000000,5
113,6.3,31500000,14268533,4
94,5.8,7.00E+06,NA,11
123,7.3,5.30E+07,91400000,5
107,6,1.20E+07,141853,10
93,6.5,8800000,174635000,9
108,5.5,15800000,109306210,5
92,4.8,21150000,25590119,4
115,6.9,1.40E+07,13640000,5
95,2.1,5600000,7009668,9
93,3.3,1.20E+07,37188667,7
84,3.8,1200000,NA,1
97,6.9,10500000,38201895,3
147,7.5,2.90E+07,5899797,11
90,5.9,1.00E+06,10042266,9
90,7.3,365000,489220,9
